gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_726a2646-9073-11eb-97a2-135c120f17f7.241031;241031;150224;BORDEAUX;2024-10-14;2024-11-15;24BORAJPT20111;EMPRISE/EMPRISE;"Interdiction de stationnement;Neutralisation de voie,Interdiction de stationnement";305215/305216;Rue Cousin (Bordeaux)/Rue Henri IV, de la Place de la Victoire jusqu'à la Rue Cousin (Bordeaux);241031
_726a2646-9073-11eb-97a2-135c120f17f7.238477;238477;156611;BORDEAUX;2024-08-19;2024-10-18;24BORAJPT17883;EMPRISE;Interdiction de stationnement;301946;du 3 au 5 rue Valentin Hauy;238477
_726a2646-9073-11eb-97a2-135c120f17f7.239396;239396;157084;BORDEAUX;2024-10-01;2024-10-31;24BORAJPT18579;EMPRISE;"Circulation interdite;Mise en impasse";303131;Carrefour de la Rue des Piliers de Tutelle et de la Rue Saint Rémi;239396
_726a2646-9073-11eb-97a2-135c120f17f7.241464;241464;141656;BORDEAUX;2024-09-08;2024-10-04;24BORAJPT20174;EMPRISE/DEVIATION/EMPRISE/EMPRISE;"Sens interdit (ou sens unique),Déviation,Interdiction de tourner,Interdiction de stationnement;Circulation alternée;Neutralisation de voie";305741/305742/305743/305740;Rue Reignier, du Quai des Queyries jusqu'à la Rue Jean Sabarots (Bordeaux)/Rue Reignier (Bordeaux) vers la rue Adolphe chales, la rue Hortense et le Quai des Queyries/Rue Hortense (Bordeaux)/Quai des Queyries, du 87 jusqu'à la Rue Reignier (Bordeaux);241464
_726a2646-9073-11eb-97a2-135c120f17f7.242749;242749;158987;BORDEAUX;2024-09-23;2024-10-11;24BORAJPT21047;EMPRISE;"Mise en impasse;Interdiction de stationnement;Circulation interdite";307291;Rue Pomme d'Or, du Cours de la Martinique jusqu'à la Rue Rose (Bordeaux);242749
_726a2646-9073-11eb-97a2-135c120f17f7.239254;239254;61035;BORDEAUX;2024-08-07;2025-08-07;24BORAJPT18330;EMPRISE;Rétrécissement de largeur de voie;302949;Rue Paul Peyrat de la rue du Pont du Guit à la rue Solange Fernex (Bordeaux);239254
_726a2646-9073-11eb-97a2-135c120f17f7.239767;239767;157284;BORDEAUX;2024-09-02;2024-11-02;24BORAJPT18922;EMPRISE/DEVIATION;"Limitation de vitesse;Circulation interdite;Interdiction de stationnement,Déviation";303599/303600;Rue Ermend Bonnal, de la Rue Roger Ducasse jusqu'à l'Impasse Renoir (Bordeaux) au droit et en face/Rue Fragonard (Bordeaux) de la Rue Stehelin jusqu'à la Rue Périnot, de la Rue Périnot jusqu'à la Rue Capeyron, de la Rue Capeyron jusqu'à la Rue Roger Ducasse et inversement.;239767
_726a2646-9073-11eb-97a2-135c120f17f7.240211;240211;150753;BORDEAUX;2024-04-08;2025-04-08;24BORAJPT19226;EMPRISE;"Mise en impasse;Interdiction de stationnement;Circulation interdite";304156;Rue Minvielle (Bordeaux);240211
_726a2646-9073-11eb-97a2-135c120f17f7.242922;242922;156899;BORDEAUX;2024-10-07;2024-10-18;24BORAJPT21443;EMPRISE;"Limitation de vitesse;Rétrécissement de largeur de voie;Neutralisation de voie";307514;du 305 au 309 Avenue d'Ares (Bordeaux);242922
_726a2646-9073-11eb-97a2-135c120f17f7.242205;242205;140034;BORDEAUX;2024-10-03;2025-04-03;24BORAJPT20602;EMPRISE/EMPRISE/EMPRISE;Mesure libre stationnement,Mesure libre stationnement,Circulation inversée;306620/306621/306619;21 rue Marcel Pagnol/138 Rue Bourbon/entre la rue Boileau et la rue Marcel Pagnol;242205
_726a2646-9073-11eb-97a2-135c120f17f7.242297;242297;155360;BORDEAUX;2024-09-30;2024-10-04;24BORAJPT20846;EMPRISE/EMPRISE;"Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement,Neutralisation de voie;Rétrécissement de largeur de voie;Limitation de vitesse";306742/306746;Rue Jules Ferry, du 53 jusqu'à la Rue Oscar Balaresque (Bordeaux)/Rue Oscar Balaresque (Bordeaux) de la Rue Jules Ferry jusqu'au 40;242297
_726a2646-9073-11eb-97a2-135c120f17f7.239252;239252;61035;BORDEAUX;2024-08-08;2025-08-07;24BORAJPT18329;EMPRISE;Sens interdit (ou sens unique);302947;Rue Solange Fernex de la rue du Tri Postal, à la rue Paul Peyrat (Bordeaux);239252
_726a2646-9073-11eb-97a2-135c120f17f7.240513;240513;157675;BORDEAUX;2024-09-23;2024-10-14;24BORAJPT19457;EMPRISE;"Interdiction de stationnement;Neutralisation de voie";304569;Rue Promis (Bordeaux);240513
_726a2646-9073-11eb-97a2-135c120f17f7.242589;242589;148168;BORDEAUX;2024-09-16;2024-10-13;24BORAJPT20875;DEVIATION;"Interdiction de stationnement;Sens interdit (ou sens unique);Circulation interdite";307096;Rue Feaugas, de la Rue Etobon Chenebier jusqu'au Cours le Rouzic (Bordeaux);242589
_726a2646-9073-11eb-97a2-135c120f17f7.241247;241247;156601;BORDEAUX;2024-09-23;2024-10-06;24BORAJPT20260;DEVIATION/EMPRISE;"Déviation,Circulation interdite;Mise en impasse";305473/305472;Rue de Lacanau - Rue Georges Bonnac - Rue Brizard - Rue Judaïque - Rue Pierre/14 Rue de Brach;241247
_726a2646-9073-11eb-97a2-135c120f17f7.240437;240437;157638;BORDEAUX;2024-09-16;2024-10-04;24BORAJPT19706;DEVIATION/EMPRISE/EMPRISE/DEVIATION;"Déviation,Circulation interdite;Limitation de vitesse,Interdiction de stationnement,Déviation";304467/304465/304466/304468;Avenue de Strasbourg jusqu'à la rue de Lamolinerie, rue Lapie, avenue d'Eysines, l'avenue de Verdun et inversement/Avenue de Strasbourg, de la Rue Lamolinerie jusqu'à l'Avenue de Verdun (Bordeaux)/Avenue de Strasbourg, de l'Avenue de Verdun jusqu'au 57 (Bordeaux)/Avenue de Strasbourg jusqu'à rue Godard, rue du Vélodrome, rue du Petit Parc et l'avenue de Strasbourg;240437
_726a2646-9073-11eb-97a2-135c120f17f7.238808;238808;150224;BORDEAUX;2024-10-14;2024-11-15;24BORAJPT19783;EMPRISE/EMPRISE/EMPRISE/EMPRISE/DEVIATION;"Interdiction de stationnement,Mise en impasse,Interdiction de stationnement;Neutralisation de voie,Interdiction de stationnement,Déviation";305194/302384/302383/305195/302385;64 Rue Clément (Bordeaux)/Rue Sauteyron, de rue Leberthon jusqu'à place de la Victoire, sortie par la borne. -- Rue René Roy de Clotte, de rue Leberthon jusqu'à rue Louis Liard (Bordeaux)/Rue Donissan et ses intersections (Bordeaux)/Rue Millière, de la Rue Sauteyron jusqu'au 26 (Bordeaux)/1/ Rue Sauteyron, place de la Victoire par la borne au droit de la Poste 2/ Cours Aristide Briand, place de la Victoire, cours de la Somme, rue Mercière, rue Leberthon (Bordeaux);238808
_726a2646-9073-11eb-97a2-135c120f17f7.240515;240515;157678;BORDEAUX;2024-09-23;2024-11-23;24BORAJPT19694;EMPRISE;"Circulation alternée;Rétrécissement de largeur de voie;Interdiction de stationnement;Limitation de vitesse";304571;du 3 au 7 Rue Commandant Charcot (Bordeaux) au droit et en face pour un chantier face au numéro 5;240515
_726a2646-9073-11eb-97a2-135c120f17f7.241559;241559;156686;BORDEAUX;2024-09-23;2024-10-02;24BORAJPT20400;EMPRISE;Mesure libre circulation;305859;3 et 9 Rue Sainte-Catherine du 20 au 28 Rue des Piliers de Tutelle (Bordeaux) du 61 au 72 Rue Saint Rémi;241559
_726a2646-9073-11eb-97a2-135c120f17f7.240478;240478;157656;BORDEAUX;2024-09-30;2024-11-30;24BORAJPT19700;EMPRISE;"Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement";304523;du 40 au 34 Avenue de Mirmont , au droit et en face pour un chantier au 29;240478
_726a2646-9073-11eb-97a2-135c120f17f7.240568;240568;155176;BORDEAUX;2024-09-09;2025-03-08;24BORAJPT19716;EMPRISE/EMPRISE;"Stop et Cédez-le-passage hors intersection,Neutralisation de voie;Mesure libre circulation";304635/304634;Rue de Rigoulet/Rue Léo Saignat du côté pair, de la place de Campeyraut jusqu'à la rue de Rigoulet.;240568
_726a2646-9073-11eb-97a2-135c120f17f7.241734;241734;150705;BORDEAUX;2024-09-16;2024-10-25;24BORAJPT20271;EMPRISE;"Circulation interdite;Interdiction de stationnement;Mise en impasse;Neutralisation de voie";306072;Impasse Buscaillet (Bordeaux) Impasse Laurendon (Bordeaux) Rue Théodore Ducos (Bordeaux) Rue de Navarre (Bordeaux) Rue des Gants (Bordeaux) Rue de Pessac, de la Rue Edmond Costedoat jusqu'à la Rue Théodore Ducos;241734
_726a2646-9073-11eb-97a2-135c120f17f7.238723;238723;155823;BORDEAUX;2024-08-19;2024-11-22;24BORAJPT17950;EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE;"Mise en impasse;Limitation de vitesse;Circulation interdite,Sens interdit (ou sens unique),Limitation de vitesse;Neutralisation de voie,Circulation interdite;Limitation de vitesse;Mise en impasse,Circulation interdite;Mise en impasse;Limitation de vitesse;Interdiction de stationnement";302261/302262/302264/302263/302260;Rue Gourgues Et Marsaud (Bordeaux) de l'Avenue de la République jusqu'à la Rue Bernard Adour/Rue Louis Sabourin (Bordeaux)/Avenue d'Ares (Bordeaux) face à la Rue Etchenique/Rue Etchenique (Bordeaux) de l'Avenue de la République jusqu'à l'Avenue d'Arès/Rue Bernard Adour, de l'Avenue d'Ares jusqu'à la Rue Jules Dugas (Bordeaux);238723
_726a2646-9073-11eb-97a2-135c120f17f7.239932;239932;157386;BORDEAUX;2024-09-02;2024-12-31;24BORAJPT18978;DEVIATION/EMPRISE/EMPRISE;"Déviation,Mesure libre stationnement,Neutralisation de voie;Rétrécissement de largeur de voie";303796/303795/303794;Rue Jean Renaud Dandicolle - Rue François de Sourdis/Cours Anatole France/Cours Maréchal Juin, de la Rue de Belfort jusqu'à la Rue Corps Franc Pommies (Bordeaux);239932
_726a2646-9073-11eb-97a2-135c120f17f7.241342;241342;148907;BORDEAUX;2024-09-09;2024-10-13;24BORAJPT20041;EMPRISE/DEVIATION/EMPRISE;"Sens interdit (ou sens unique);Interdiction de stationnement,Déviation,Neutralisation de voie";305589/305590/305591;Rue Galin, du Boulevard de l'Entre Deux Mers jusqu'à la Rue Camille Flammarion (Bordeaux)/Rue Galin (Bordeaux) vers la rue Gustave Ferrie , la bretelle de sortie Galin du boulevard Joliot Curie et le boulevard de l'Entre Deux Mers/Boulevard de l'Entre Deux Mers (Bordeaux);241342
_726a2646-9073-11eb-97a2-135c120f17f7.241413;241413;155068;BORDEAUX;2024-09-18;2025-09-18;24BORAJPT20146;EMPRISE;"Limitation de vitesse;Neutralisation de voie";305682;face au 224 Boulevard du Président Wilson , côté impair;241413
_726a2646-9073-11eb-97a2-135c120f17f7.243022;243022;159144;BORDEAUX;2024-09-30;2024-10-11;24BORAJPT21330;EMPRISE/EMPRISE;"Circulation interdite;Mise en impasse,Mise en impasse;Circulation interdite;Interdiction de stationnement";307631/307630;Rue Sainte Thérèse, de la Rue Rode jusqu'à la Rue Sicard (Bordeaux)/Rue Sicard, de la Rue Notre Dame jusqu'au 2 (Bordeaux);243022
_726a2646-9073-11eb-97a2-135c120f17f7.243299;243299;148364;BORDEAUX;2024-10-02;2024-10-31;24BORAJPT21635;EMPRISE;"Neutralisation de voie;Interdiction de stationnement;Limitation de vitesse";307986;du 13 au 15 Rue Frantz Malvezin au droit et en face pour une manutention au 18;243299
_726a2646-9073-11eb-97a2-135c120f17f7.241776;241776;158355;BORDEAUX;2024-09-23;2025-02-21;24BORAJPT20349;EMPRISE;"Circulation alternée;Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement";306121;Square Samuel Paty au droit du cèdre -- Place de l'église Saint Amand -- Barrière Cité Administrative -- Avenue Louis Barthou, de la Place Martyrs de la Résistance jusqu'à la Rue Guenard -- Place de Moscou -- Place Eugène Gauthier -- 493 avenue du Mal de Lattre de Tassigny -- 101, 157 rue Stehelin -- rue Pasteur angle rue Morton;241776
_726a2646-9073-11eb-97a2-135c120f17f7.243292;243292;151745;BORDEAUX;2024-10-01;2024-10-31;24BORAJPT21568;EMPRISE;Sens interdit (ou sens unique);307977;Rue Lagrange de Rue Paul Verlaine à Rue Mandron;243292
_726a2646-9073-11eb-97a2-135c120f17f7.242988;242988;155068;BORDEAUX;2024-09-30;2024-10-30;24BORAJPT21435;EMPRISE;"Limitation de vitesse;Neutralisation de voie";307591;face au 224 Boulevard du Président Wilson , côté impair;242988
_726a2646-9073-11eb-97a2-135c120f17f7.243051;243051;148587;BORDEAUX;2024-10-01;2024-11-30;24BORAJPT21331;DEVIATION/EMPRISE;"Déviation,Interdiction de stationnement;Circulation interdite";307673/307672;Rue du Professeur Calmette (Bordeaux) vers la rue du professeur André Lambinet (côté pair) ,dans les deux sens./De la Rue du Professeur Calmette jusqu'au 2 à la rue du Professeur Lambinet (côté parc ) (Bordeaux);243051
_726a2646-9073-11eb-97a2-135c120f17f7.242848;242848;148860;BORDEAUX;2024-09-30;2024-11-05;24BORAJPT21412;EMPRISE;"Mise en impasse;Sens interdit (ou sens unique);Circulation interdite;Interdiction de stationnement";307419;Cours Journu Auber, de la Rue Binaud jusqu'à l'Avenue Emile Counord (Bordeaux) Rue Binaud, de la Rue Pierre Chareau jusqu'au Cours Journu Auber (Bordeaux);242848
_726a2646-9073-11eb-97a2-135c120f17f7.242700;242700;158988;BORDEAUX;2024-10-11;2024-10-11;24BORAJPT21125;EMPRISE;"Interdiction de stationnement;Circulation alternée;Limitation de vitesse;Neutralisation de voie";307232;du 35 au 30 Rue Alfred Poirier (Bordeaux);242700
_6752f20a-9073-11eb-97a2-135c120f17f7.204297;204297;126528;BORDEAUX;2023-08-28;2024-12-31;23BORPT19556;EMPRISE;"Interdiction de stationnement;Circulation interdite";259144;Rue Bourbon, de la Rue Boileau jusqu'au Cours du Raccordement;204297
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.209962;209962;136128;BORDEAUX;2023-10-23;2024-11-10;23BORPT24243;EMPRISE;Neutralisation de voie;266183;du 7 au 9 rue Lana;209962
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.207872;207872;136952;BORDEAUX;2023-10-09;2024-10-27;23BORPT22059;EMPRISE;"Interdiction de stationnement;Circulation interdite";263544;du 16 au 28 Cité Souriaux Les deux côtés (Bordeaux);207872
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.213343;213343;138283;BORDEAUX;2023-11-27;2024-12-15;23BORPT26856;EMPRISE/DEVIATION;Interruption de circulation,Déviation;270448/270449;Du 135 Quai des Chartrons jusqu'à la rue Maurice/déviation des véhicules par la rue Lombard;213343
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.217569;217569;143667;BORDEAUX;2024-01-29;2025-02-16;24BORAJPT00454;EMPRISE/EMPRISE;"Interdiction de stationnement;Neutralisation de voie;Circulation alternée,Interdiction de stationnement";275666/275665;116 Rue Camille Flammarion (Bordeaux)/face au 112 et face au 119 au 123 Rue Camille Flammarion (Bordeaux);217569
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.219653;219653;143742;BORDEAUX;2025-02-05;2025-02-16;24BORAJPT01976;DEVIATION/EMPRISE/DEVIATION;"Déviation,Mise en impasse;Circulation interdite,Déviation";278293/278292/278294;Avenue Louis Barthou, de la Rue Bellus Mareilhac jusqu'à l'Avenue Saint Amand (Bordeaux) Avenue Saint Amand, de l'Avenue Louis Barthou jusqu'à la Rue Masson (Bordeaux) Rue Bellus Mareilhac, de la Rue Cerey jusqu'à l'Avenue Louis Barthou (Bordeaux) Rue Cerey, de la Rue Masson jusqu'à la Rue Bellus Mareilhac (Bordeaux)/Rue Masson, de la Rue Cerey jusqu'à l'Avenue Saint Amand (Bordeaux)/Avenue Saint Amand, de l'Avenue du Maréchal de Lattre de Tassigny jusqu'à la Rue Masson (Bordeaux) Rue Cerey, de la Rue Masson jusqu'à l'Avenue du Maréchal de Lattre de Tassigny (Bordeaux);219653
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.220651;220651;145578;BORDEAUX;2024-02-19;2025-03-05;24BORAJPT02980;DEVIATION/EMPRISE;Déviation,Circulation interdite;279481/279480;Rue Fondaudege, de la Rue Poudensan jusqu'à la Rue Croix de Seguey (Bordeaux) Rue Paulin, de la Rue Croix de Seguey jusqu'à la Rue Luflade (Bordeaux)/42 Rue Poudensan (Bordeaux);220651
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.221199;221199;141786;BORDEAUX;2024-02-19;2025-03-08;24BORAJPT03243;EMPRISE/EMPRISE/DEVIATION;Circulation interdite,Mise en impasse,Déviation;280125/280126/280127;Rue de Solferino, du 58 jusqu'à la Rue de Saint Genès (Bordeaux)/Rue de Solferino, de Cité de Magenta jusqu'au 58 (Bordeaux)/Cité de Magenta (Bordeaux) Rue de Saint Genès (Bordeaux) Rue de Ségur (Bordeaux);221199
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.228188;228188;147500;BORDEAUX;2024-04-22;2025-05-22;24BORAJPT08922;EMPRISE;"Mesure libre circulation;Neutralisation de voie";288833;28 Boulevard Albert 1er (Bordeaux);228188
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.226330;226330;143939;BORDEAUX;2024-04-29;2025-05-17;24BORAJPT07375;DEVIATION/EMPRISE/EMPRISE;Déviation,Interdiction de stationnement,Circulation interdite;286505/286503/286504;Rue de Janeau (Bordeaux) vers le Boulevard Jules Simon/du début de la rue de Janeau jusqu'au n°5 (Bordeaux)/8 Rue de Janeau (Bordeaux);226330
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.226934;226934;149641;BORDEAUX;2024-04-22;2025-05-24;24BORAJPT07920;EMPRISE/DEVIATION;Circulation interdite,Déviation;287263/287264;Rue Josephine/Rue Dupaty via la rue Delord;226934
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.228783;228783;145788;BORDEAUX;2024-05-13;2025-05-24;24BORAJPT09308;EMPRISE;Neutralisation de voie;289574;11 Impasse Saillan (Bordeaux);228783
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.226845;226845;149088;BORDEAUX;2024-04-08;2024-10-06;24BORAJPT07795;EMPRISE/EMPRISE/EMPRISE;"Interdiction de tourner,Interdiction de tourner,Sens interdit (ou sens unique);Mesure libre circulation";287147/287148/287146;Place des Capucins à l'intersection du cours de la Marne Rue Chantre à l'intersection du cours de la Marne Rue Garat à l'intersection du cours de la Marne Rue Leyteire à l'intersection du cours de la Marne/Cours de l'Yser à l'intersection du cours de la Marne Rue Kleber à l'intersection du cours de la Marne/Cours de la Marne, de la place des Capucins jusqu'à la place de la Victoire;226845
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.229624;229624;146633;BORDEAUX;2024-05-13;2025-05-24;24BORAJPT10358;EMPRISE;Neutralisation de voie;290643;du 10 au 18 Boulevard du Président Wilson (Bordeaux);229624
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.232601;232601;148477;BORDEAUX;2024-05-10;2025-05-24;24BORAJPT12515;EMPRISE/DEVIATION;Circulation interdite,Déviation;294444/294445;Rue Huguerie, de la Rue Lhote jusqu'au 33 (Bordeaux)/Rue Fondaudege, de la Rue Lhote jusqu'à la Rue du Palais Gallien (Bordeaux) Rue Lafaurie de Monbadon, de la Rue Turenne jusqu'à la Rue Huguerie (Bordeaux) Rue Lhote, de la Rue Huguerie jusqu'à la Rue Fondaudege (Bordeaux) Rue Turenne, de la Rue du Palais Gallien jusqu'à la Rue Lafaurie de Monbadon (Bordeaux) Rue du Palais Gallien, de la Rue Fondaudege jusqu'à la Rue Turenne (Bordeaux);232601
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.232464;232464;144202;BORDEAUX;2024-06-10;2024-11-15;24BORAJPT12430;EMPRISE/EMPRISE;"Mise en impasse;Circulation interdite,Interdiction de stationnement";294263/294262;du 31 au 35 Rue Jean Descas (Bordeaux)/du 17 au 35 Rue Jean Descas (Bordeaux);232464
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.235318;235318;147287;BORDEAUX;2024-07-10;2025-07-23;24BORAJPT14917;EMPRISE;"Neutralisation de voie;Interdiction de stationnement";297845;350 Avenue Thiers (Bordeaux);235318
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.237417;237417;154351;BORDEAUX;2024-07-22;2025-08-02;24BORAJPT17176;EMPRISE/EMPRISE;"Neutralisation de voie,Interdiction de stationnement;Neutralisation de voie";300547/300548;21 Rue Pierre Baour/21 Rue Pierre Baour;237417
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.235439;235439;153631;BORDEAUX;2024-07-08;2025-07-26;24BORAJPT14951;EMPRISE;Rétrécissement de largeur de voie;297991;77 Rue Surson;235439
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242869;242869;102434;BORDEAUX;2024-09-18;2025-09-20;24BORAJPT21185;EMPRISE;Mesure libre circulation;307448;Place de Stalingrad;242869
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242940;242940;154303;BORDEAUX;2024-10-07;2024-10-31;24BORAJPT21485;EMPRISE/EMPRISE;Interdiction de stationnement,Circulation interdite;307538/307539;du 50 au 62 Rue de Cauderes/Rue de Cauderes de la rue Freycinet (Talence) à la rue de Taregua (Bordeaux);242940
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242904;242904;159084;BORDEAUX;2024-10-11;2024-10-11;24BORAJPT21222;EMPRISE;"Neutralisation de voie;Interdiction de stationnement";307494;du 16 au 13 Rue Frantz Malvezin (Bordeaux);242904
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242855;242855;159062;BORDEAUX;2024-10-02;2024-10-11;24BORAJPT21137;EMPRISE;"Limitation de vitesse;Neutralisation de voie";307429;Boulevard du Président Wilson angle de l'avenue d'Eysines;242855
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242875;242875;102434;BORDEAUX;2024-09-18;2025-09-20;24BORAJPT21160;EMPRISE;Mesure libre circulation;307454;Place de Stalingrad;242875
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241580;241580;157349;BORDEAUX;2024-09-23;2025-10-02;24BORAJPT20391;EMPRISE;Rétrécissement de largeur de voie;305883;9 Place Gambetta (Bordeaux);241580
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242966;242966;159121;BORDEAUX;2024-10-13;2024-10-18;24BORAJPT21276;EMPRISE;Neutralisation de voie;307567;Rond-point Docteur Etienne Ginestous (Bordeaux);242966
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242571;242571;158907;BORDEAUX;2024-09-23;2025-02-21;24BORAJPT20908;EMPRISE;"Neutralisation de voie;Circulation alternée;Interdiction de stationnement";307072;au n°196 rue Achard, au carrefour du quai de Bacalan à l'angle de la rue Lucien Faure, au carrefour de la rue Lucien Faure à l'angle du cours du Raccordement, rue Henri Brunet, au cours des Aubiers, à la place Ginette Neveu, à la place Jean Cayrol et la place René Maran. (Travaux de jour ou de nuit, 30 minutes d'intervention par candélabre ou façade).;242571
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242596;242596;158922;BORDEAUX;2024-09-23;2024-10-04;24BORAJPT20934;EMPRISE/EMPRISE/EMPRISE;Circulation interdite,Interdiction de stationnement,Interdiction de stationnement;307105/307103/307104;Rue du Chalet, de la rue Vincent Thuron jusqu'au boulevard Georges Pompidou/Rue de Doumerc, de la rue François Daunes jusqu'à la rue Louis Braille/Rue du Chalet, du 14 jusqu'au boulevard Georges Pompidou;242596
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242442;242442;158838;BORDEAUX;2024-09-23;2024-10-04;24BORAJPT20898;EMPRISE/EMPRISE;Neutralisation de voie,Interdiction de stationnement;306917/306918;Rue de Macau , dans le sens Rue Mandron à la Rue de Rivière (Bordeaux)/face au 51 au 55 Rue de Macau;242442
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.239037;239037;152594;BORDEAUX;2024-08-26;2024-10-04;24BORAJPT18163;EMPRISE;"Neutralisation de voie;Circulation alternée";302672;5 Rue Charles Domercq (Bordeaux);239037
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241686;241686;158391;BORDEAUX;2024-09-26;2024-10-04;24BORAJPT20416;EMPRISE;Interruption de circulation;306017;33 Rue Ausone (Bordeaux);241686
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241732;241732;158410;BORDEAUX;2024-09-30;2024-10-12;24BORAJPT20304;EMPRISE/DEVIATION;Mise en impasse,Déviation;306069/306070;26 rue de la Tour du Pin (Bordeaux)/rue Maubec, rue de la Fusterie, cours Victor Hugo, Quai des Salinières;241732
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242873;242873;102434;BORDEAUX;2024-09-18;2025-09-20;24BORAJPT21163;EMPRISE;Mesure libre circulation;307452;Place de Stalingrad;242873
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242751;242751;159012;BORDEAUX;2024-10-08;2024-11-15;24BORAJPT21039;EMPRISE;Circulation alternée;307294;Rue du Grand Barail (Bordeaux);242751
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241745;241745;158410;BORDEAUX;2024-10-14;2024-10-25;24BORAJPT20446;EMPRISE/EMPRISE/DEVIATION;Mise en impasse,Mise en impasse,Déviation;306085/306084/306086;contre-allée Quai des Salinières (Bordeaux)/3-5 Place Bir Hakeim (Bordeaux)/Quai des Salinières, contre-allée Quai de la Grave;241745
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241551;241551;158296;BORDEAUX;2024-09-23;2024-10-14;24BORAJPT20393;DEVIATION/DEVIATION/EMPRISE/EMPRISE/EMPRISE;Déviation,Déviation,Rétrécissement de largeur de voie,Circulation interdite,Circulation interdite;305849/305851/305847/305850/305848;Allée de Tourny - Rue Mautrec/Allée de Tourny - Rue Jean Jacques Bel/Allée d'Orleans (Bordeaux) Allée de Tourny (Bordeaux) Rue Esprit-Des-Lois (Bordeaux)/Rue Mautrec (Bordeaux)/Rue Jean-Jacques Bel (Bordeaux);241551
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242255;242255;154689;BORDEAUX;2024-09-23;2024-10-11;24BORAJPT20674;EMPRISE;"Mise en impasse;Interdiction de stationnement;Circulation interdite";306694;Rue Docteur Finlay, du Boulevard Godard jusqu'à la Rue du Docteur Schweitzer (Bordeaux);242255
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.238977;238977;154005;BORDEAUX;2024-07-29;2025-08-23;24BORAJPT18126;EMPRISE/EMPRISE/DEVIATION;Mise en impasse,Mise en impasse,Déviation;302596/302597/302598;rue des Pontets (Bordeaux)/rue Gensan (Bordeaux)/cours Victor Hugo, place Bir Hakeim, Quai des Salinières, rue Maubec;238977
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.236198;236198;154317;BORDEAUX;2024-07-29;2025-08-09;24BORAJPT15687;DEVIATION/EMPRISE;"Déviation,Interdiction de stationnement;Circulation interdite;Mise en impasse";299000/298999;Avenue Thiers (Bordeaux), rue Baudry Lacantinerie, rue Jules verne, vers Savigné Chanteloup/15 Rue Savigne Chanteloup (Bordeaux);236198
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242218;242218;158711;BORDEAUX;2024-09-30;2024-10-04;24BORAJPT20671;EMPRISE;Interruption de circulation;306645;1 Rue Pere Louis de Jabrun (Bordeaux);242218
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.240596;240596;157723;BORDEAUX;2024-09-08;2025-01-10;24BORAJPT19489;EMPRISE;"Interdiction de stationnement;Circulation alternée";304665;1 Rue Surcouf (Bordeaux) au n°19 avenue de Tourville jusqu'au carrefour de la rue Dumont d'Urville;240596
