gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.235479;235479;147288;BORDEAUX;2024-07-28;2025-08-07;24BORAJPT14986;EMPRISE/EMPRISE;"Interdiction de stationnement,Neutralisation de voie;Circulation alternée";298041/298042;du 46 au 48 et au 45 Rue des Vivants (Bordeaux)/46 Rue des Vivants (Bordeaux);235479
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241449;241449;158237;BORDEAUX;2024-09-11;2024-12-06;24BORAJPT20132;EMPRISE;"Neutralisation de voie;Mise en impasse";305723;3 Rue Esmangard (Bordeaux);241449
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.238675;238675;27877;BORDEAUX;2024-08-19;2024-11-18;24BORAJPT17886;EMPRISE;Mesure libre circulation;302195;Quartier centre ville de Bordeaux;238675
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241398;241398;157356;BORDEAUX;2024-10-03;2024-10-03;24BORAJPT20135;DEVIATION/EMPRISE/EMPRISE;"Déviation,Interdiction de stationnement;Mise en impasse,Neutralisation de voie";305663/305662/305661;Cours de la Somme, rue Dublan, rue Cruchinet (Bordeaux)/27 Rue Mercière (Bordeaux)/38 Rue Mercière (Bordeaux);241398
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241070;241070;152402;BORDEAUX;2024-09-16;2024-11-08;24BORAJPT19951;EMPRISE/DEVIATION/EMPRISE/EMPRISE/DEVIATION;"Limitation de vitesse;Interdiction de stationnement;Neutralisation de voie;Circulation alternée,Déviation,Interdiction de stationnement;Neutralisation de voie,Limitation de vitesse;Circulation interdite;Interdiction de stationnement;Neutralisation de voie;Mise en impasse,Déviation";305261/305265/305262/305263/305264;Rue Falquet, de l'Avenue du Maréchal de Lattre de Tassigny jusqu'à la Rue Latesta (Bordeaux)/Rue Cerey, de la rue Masson jusqu'à l'avenue du Maréchal de Lattre de Tassigny et l'avenue Saint Amand/Allée Saint-Exupéry (Bordeaux)/Rue Masson, de la Rue Cerey jusqu'à l'Avenue Saint Amand (Bordeaux)/Rue Cerey, de la rue Masson jusqu'à la rue Bellus Mareilhac, avenue Louis Barthou et l'avenue Saint Amand;241070
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.239817;239817;157310;BORDEAUX;2024-09-02;2024-10-02;24BORAJPT18826;EMPRISE/DEVIATION/DEVIATION;Neutralisation de voie,Déviation,Déviation;303657/303659/303658;côté impair du cours Balguerie Stuttenberg, de la rue Bourbon à la rue Armand Dulamon/angle rue Bourbon et cours Balguerie Stuttenberg/rue Bourbon, rue Marcel Pagnol, Armand Dulamon et Lewis Brown;239817
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241566;241566;151302;BORDEAUX;2024-09-06;2024-12-31;24BORAJPT20192;EMPRISE/EMPRISE;Neutralisation de voie,Interdiction de stationnement;305867/305868;Face au 178 rue Barreyre pour un chantier situé Impasse Barreyre 2ème (Bordeaux)/178 rue Barreyre pour un chantier situé Impasse Barreyre 2ème (Bordeaux);241566
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.238766;238766;156750;BORDEAUX;2024-08-26;2024-10-18;24BORAJPT18007;EMPRISE;"Neutralisation de voie;Rétrécissement de largeur de voie";302322;166 Rue Camille Godard (Bordeaux);238766
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.238924;238924;156824;BORDEAUX;2024-09-02;2024-10-18;24BORAJPT18104;EMPRISE/EMPRISE/EMPRISE;Rétrécissement de largeur de voie,Rétrécissement de largeur de voie,Rétrécissement de largeur de voie;302524/302526/302525;Rue de la Sau, à l'angle avec la Rue Saint James/Rue Pierre de Coubertin, à l'angle avec la Rue Saint James/Rue Pierre de Coubertin, à l'angle avec la Place de la Ferme de Richemont;238924
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241710;241710;155111;BORDEAUX;2024-10-28;2024-11-09;24BORAJPT20294;DEVIATION/EMPRISE;Déviation,Neutralisation de voie;306043/306042;Quai des Salinières (Bordeaux), rue des Faures, rue de la Fusterie/rue Maubec (Bordeaux), entre la rue de la Tour du Pin et la rue de la Fusterie;241710
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242258;242258;154771;BORDEAUX;2024-10-01;2024-10-31;24BORAJPT20712;EMPRISE;Neutralisation de voie;306697;Rue de la Garonne, de face à la caserne du SDIS jusqu'au Quai Deschamps (Bordeaux);242258
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242245;242245;158721;BORDEAUX;2024-12-03;2024-12-04;24BORAJPT20633;DEVIATION/EMPRISE/DEVIATION;Déviation,Circulation interdite,Déviation;306679/306677/306678;Avenue Marcel Dassault direction avenue des quarante journaux/Avenue Marcel Dassault entre l'avenue des 40 journaux et le pont des hotels/Rue Jean Gabriel Domergue direction cour Charles Bricaud;242245
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242485;242485;158866;BORDEAUX;2024-09-30;2024-10-04;24BORAJPT20913;EMPRISE;Rétrécissement de largeur de voie;306966;Avenue des Trois Cardinaux (Bordeaux);242485
