Geo Point;Geo Shape;gid;geom_o;geom_err;ident;id_local;libelle;adresse;insee;implantation;actif;nb_place;nb_pmr;nb_irve;condition_acces;accessibilite_24_24;gestionnaire;cdate;mdate
44.8878074, -0.5182278;"{""coordinates"": [-0.5182278, 44.8878074], ""type"": ""Point""}";1415;0;;33249-C-003;14;Parc-relais La Gardette (abonnes Tbm);chemin du Grand Came 33530 Bassens;33249;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8272037, -0.6256904;"{""coordinates"": [-0.6256904, 44.8272037], ""type"": ""Point""}";1418;0;;33281-C-013;17;Parc-relais Arlac;avenue Francois Mitterrand 33700 Merignac;33281;PARKING_RELAIS;True;10;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.7948067, -0.6222788;"{""coordinates"": [-0.6222788, 44.7948067], ""type"": ""Point""}";1421;0;;33318-C-004;23;Parc-relais Unitec;avenue du Docteur Albert Schweitzer 33600 Pessac;33318;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.7884435, -0.6506672;"{""coordinates"": [-0.6506672, 44.7884435], ""type"": ""Point""}";1424;0;;33318-C-006;25;Parc-relais Cap Metiers;allee Heliodore Galienne 33600 Pessac;33318;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8564518, -0.6605161;"{""coordinates"": [-0.6605161, 44.8564518], ""type"": ""Point""}";1425;0;;33281-C-015;19;Parc-relais des Pins;rue Alphonse Daudet 33700 Merignac;33281;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.7742737, -0.5638564;"{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}";1426;0;;33550-C-001;27;Parc-relais Villenave Pyrenees;avenue des Pyrenees 33140 Villenave d'Ornon;33550;PARKING_RELAIS;True;20;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.9193887, -0.6280844;"{""coordinates"": [-0.6280844, 44.9193887], ""type"": ""Point""}";1432;0;;33056-C-001;33;Blanquefort 11 Novembre - Duvert;avenue du 11 novembre-angle avenue Jean Duvert-33290 Blanquefort;33056;VOIRIE_PUBLIQUE;True;4;0;0;LIBRE;True;BORDEAUX_METROPOLE;2020-12-15T10:15:15+01:00;2021-11-18T15:24:02+01:00
44.944185, -0.5608975;"{""coordinates"": [-0.5608975, 44.944185], ""type"": ""Point""}";1435;0;;33312-C-003;20;Parempuyre Grattequina;chemin des Palus-pres giratoire Labarde 33290 Parempuyre;33312;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2021-06-14T16:46:29+02:00;2023-05-04T16:03:00+02:00
44.9477763, -0.6006279;"{""coordinates"": [-0.6006279, 44.9477763], ""type"": ""Point""}";1436;0;;33312-C-004;21;Parempuyre Yvan Bric;place Yvan Bric 33290 Parempuyre;33312;VOIRIE_PUBLIQUE;False;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2021-06-14T16:46:29+02:00;2021-11-18T15:24:02+01:00
44.956735, -0.4652436;"{""coordinates"": [-0.4652436, 44.956735], ""type"": ""Point""}";1643;0;;33487-C-001;67;A10 Echangeur 41 - rue Massé;Rue Massé D115 33440 St Vincent de Paul;33487;VOIRIE_PUBLIQUE;False;40;1;0;LIBRE;True;COMMUNE;2023-04-06T09:32:34+02:00;2023-04-06T09:59:57+02:00
44.8657301, -0.7281449;"{""coordinates"": [-0.7281449, 44.8657301], ""type"": ""Point""}";1373;0;;33434-C-002;64;Place Georges Blanc;1 rue Ulysse Maleyran 33160 Saint Medard en Jalles;33434;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.912425, -0.6683557;"{""coordinates"": [-0.6683557, 44.912425], ""type"": ""Point""}";1379;0;;33519-C-002;46;Aire Carrefour Market;162 avenue de Soulac 33320 Le Taillan Medoc;33519;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2014-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8616165, -0.6421038;"{""coordinates"": [-0.6421038, 44.8616165], ""type"": ""Point""}";1383;0;;33162-C-010;43;Parking Grand Louis;4 allee Grand Louis 33320 Eysines;33162;VOIRIE_PUBLIQUE;True;2;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
